,participant,rs,ls,rf,lf,MSE
1,p1,0.998992717023253,0.0710103200796985,0.685063593053363,0.428828435312166,60.2371442340149
2,p2,0.999999999936863,0.0438038446858708,0.593518765748518,0.710024228812219,105.625571068466
3,p3,0.999999999451493,0.0537786174135137,0.698078835984383,0.310396510214799,95.6065597651641
4,p4,0.999981707154394,0.0771471337115606,0.717807560612415,0.378213509218149,66.0526524037723
5,p5,0.804141669572566,0.174999076375282,0.804109347238036,0.976774676892656,130.223226098773
6,p6,0.999999999896484,0.0357855207683033,0.775720381494885,0.204733090188985,81.1255051164378
7,p7,0.999999999970668,0.0679647845074126,0.664842655794105,0.269916474850761,100.190114146424
8,p8,0.99424139000041,0.0493478375241719,0.656225643159171,0.213288281512498,92.0171392479229
9,p9,0.996856802228634,0.0577788274228123,0.534958561749804,0.40281829376995,53.8313457749434
10,p10,0.999999980301318,0.0542971001183421,0.536353440014033,0.372827096049217,78.6782554381881
11,p11,0.821439824828567,0.498188486022466,0.0347355154507341,0.498188845757908,235.983185584365
12,p12,0.783768856523424,0.449885462584313,0.783728917030867,0.761960187863667,153.931036862456
13,p13,0.992409862961714,0.0782772937021802,0.463643743220609,0.691215469618043,24.680442969019
14,p14,0.641185788746818,0.696071110210712,0.64112585103063,0.789683333960202,141.619565466361
15,p15,0.999999998029847,0.13337710969827,0.0836747690673687,0.267546312913027,95.7214198748996
16,p16,0.999021830390373,0.0714999917124925,0.28091260914372,0.312852118070103,51.9946825582662
17,p17,0.996359353414976,0.064265248464673,0.00820286681594831,0.430458790466422,36.9361995991841
18,p18,0.704290671249434,0.638211028300087,0.704256294537185,0.704595457305653,117.036015377339
19,p19,0.746189759404693,0.558782089715284,0.746160214666776,0.960532392108017,48.856483838772
20,p20,0.694796861412511,0.482911295646858,0.694745376256288,0.845473975019513,116.95540228087
21,p21,0.749153163471162,0.579483650750563,0.74914598564267,0.615887620083241,97.6966281986835
22,p22,0.999999999079194,0.0586597776355599,0.876535739190232,0.128412338104147,50.4017637404445
23,p23,0.996115067016861,0.0500947808570913,0.0781990748160106,0.602861256790618,65.8709683031629
24,p24,0.763306627925263,0.629318494707978,0.763268327810377,0.706122471615534,280.195177653689
25,p25,0.989705452205424,0.0594681980260679,0.384194035709254,0.287115503212784,48.7447189566017
26,p26,0.993774383797205,0.0479548646461455,0.285669929752037,0.393569864272171,90.5498899695251
27,p27,0.749215046959031,0.36720982856094,0.749129228732853,0.863021207293784,122.358224334055
28,p28,0.999999998747101,0.0446997382969117,0.434768006297102,0.402938444329396,72.3627086922571
29,p29,0.745187207857412,0.529870873365895,0.745144929278365,0.753448710032988,82.1627303857751
30,p30,0.998725934512283,0.0416757834886121,0.822010020576501,0.268727366269069,94.8074777076931
31,p31,0.745418507372974,0.0491082933255506,0.745225909695849,0.991949948857235,72.2851457643219
32,p32,0.9994788260421,0.0733853534997959,2.47821996642229e-06,0.453721964243178,81.2221345017667
