,Data1AIC,Data2AIC
1,39.7068538380345,41.6308896779637
2,40.5191192460276,39.3754454530747
3,44.0059211149666,48.0059210984107
4,43.0300149702627,40.4511482116379
5,42.607178162023,41.019684916077
6,38.7699127130886,40.8013864676296
7,42.5043926633138,39.3998261023696
8,39.3008617098931,42.4325286859691
9,42.4970359580844,39.7442387204662
10,36.6342267629726,39.8731598383434
11,41.9642928736249,40.5547672343931
12,36.2231398437954,39.1703928370601
13,41.3950194278047,39.0854226397416
14,40.4922532855028,39.8483848764305
15,34.4139938595397,37.2661771953161
16,40.4184396469499,43.9793341471046
17,40.7320585766443,44.7320585641541
18,41.3531879104016,45.3531878319176
19,40.610690566556,44.5965957603089
20,44.9381748984384,48.9381748894412
21,39.2808678860461,43.2808678760895
22,42.1531244979008,41.306794901066
23,42.3093432470729,43.1379015012775
24,42.5917251048097,44.834913156614
25,39.2315458689928,38.2852427281317
26,37.3809480583304,41.1542123622207
27,42.284029871338,39.7531777193017
28,40.5008982814696,38.6197563341961
29,37.8814360718936,38.5980231706088
30,40.6615714600038,41.4161188759371
31,41.2875762800182,43.7903754154573
32,40.3705544336808,44.3556135701363
