,Data1AIC,Data2AIC
1,46.8772269708743,50.8772269708743
2,43.2891228970914,47.2891228970914
3,43.0964241106448,47.0964241106448
4,44.860404138381,48.860404138381
5,42.214529796447,46.214529796447
6,39.5264419867599,43.5264419867599
7,46.2929043284166,50.2929043284166
8,41.0320203467146,45.0320203467146
9,36.1573023552959,40.1573023552959
10,46.1158303449836,50.1158303449836
11,41.3953130534094,45.3953130534094
12,43.8715644265573,47.8715644265573
13,46.8386716548945,50.8386716548945
14,39.3536765344796,43.3536765344796
15,42.5189702705896,46.5189702705896
16,37.4585859834446,41.4585859834446
17,36.2631211157873,40.2631211157873
18,42.5874774340004,46.5874774340004
19,38.7843798445,42.7843798445
20,35.4465876387806,39.4465876387806
21,42.3248777593574,46.3248777593574
22,39.0601458265657,43.0601458265657
23,44.5282221229624,48.5282221229624
24,41.6640522442037,45.6640522442037
25,38.3235579206367,42.3235579206367
26,39.8364672020945,43.8364672020945
27,38.2078983249286,42.2078983249286
28,41.1634896316966,45.1634896316966
29,41.4836671334869,45.4836671334869
30,36.9014789554674,40.9014789554674
31,38.7443579803685,42.7443579803685
32,39.3990568561082,43.3990568561082
