,participant,rs,ls,MSE
1,p1,0.771986157336296,0.431990404605937,73.9577290692964
2,p2,0.814824884973859,0.334473627257492,87.0033638453479
3,p3,0.751072230529098,0.693933113123369,174.741398225102
4,p4,0.803801051687956,0.449043534324509,143.757223326553
5,p5,0.656126875709235,0.999998864548262,132.099914725115
6,p6,0.856638887051288,0.576174075701223,61.3199645696067
7,p7,0.818423995329691,0.401510701010764,129.412045654368
8,p8,0.999999999499937,0.0239799066173627,68.189819231053
9,p9,0.817198572536914,0.407416125124811,129.221776409568
10,p10,0.99999999940276,0.0290345168399938,40.0035534406772
11,p11,0.843408451193437,0.381206854110651,116.161505122651
12,p12,0.790701129009215,0.24889400726169,36.8461414069079
13,p13,0.665457476909162,0.999999017253671,103.661089098111
14,p14,0.88364309057373,0.19113183645705,86.5371317566413
15,p15,0.998446192257832,0.0134652398100909,25.6597009680854
16,p16,0.999999999032611,0.0269192980549284,85.2689912811958
17,p17,0.625054137617865,0.926427596138091,90.7886836939829
18,p18,0.73835312310943,0.908644895112749,102.797446752119
19,p19,0.599999689588354,0.999999955146748,88.6114469105593
20,p20,0.73648273965955,0.768796843666496,210.557318565244
21,p21,5.75103799323891e-06,0.104918443368572,67.9176886400075
22,p22,0.723199516987179,0.999999998422483,120.632391343788
23,p23,0.781836390074542,0.589112819663881,124.460896596164
24,p24,0.764367049378676,0.647772311005974,131.692275468842
25,p25,0.816291842442322,0.636740936884267,67.2510147366694
26,p26,0.995247249262356,0.0247280253872259,46.4470310107455
27,p27,0.839485831694497,0.429244180122157,123.832383828613
28,p28,0.805750874825337,0.733689663183551,86.6868838109282
29,p29,0.695157670594162,0.70805749508753,51.3369182819989
30,p30,0.818142856155889,0.732160034699754,89.51777649295
31,p31,0.878273786781529,0.272298531960547,101.45731717493
32,p32,0.728511676058699,0.999999724604364,84.4562644861531
