,Data1AIC,Data2AIC
1,40.5842822104607,44.5727324505781
2,39.9631337459248,41.0766122276998
3,40.8375949439585,41.7508984472007
4,39.0467129920625,42.5732769163083
5,39.2422951070621,41.5392872006221
6,40.687350486814,40.9564631722697
7,40.3834058095246,41.5637940365487
8,41.3263920582284,43.6958847472909
9,41.8856438570833,44.1378813020441
10,42.2676758942118,46.2508916016846
11,39.5770035303256,39.2687411839085
12,41.7177328171085,44.6094553076
13,40.4992880533886,42.9686797478448
14,43.7379196392854,44.7434310890723
15,40.8917947967757,44.1279274060835
16,41.8475912167087,45.8475911790484
17,43.69079660426,47.6884399710231
18,43.0164162722938,43.7347603813086
19,44.189538359019,44.7767553662531
20,41.0078710160845,41.3587894847903
21,43.6507292983813,43.1926186011319
22,39.8690769818919,41.9673519150454
23,42.4486987623265,44.4579033164688
24,44.2667751450989,48.2376777230287
25,39.8302104720037,41.9741264704448
26,41.6597868473128,43.1385228835656
27,39.035377693477,43.0346804878487
28,39.7611878652709,43.7017902323974
29,36.292298232395,39.3299252095667
30,39.6183507262995,43.3142194037559
31,40.7708326811698,44.7708326220522
32,39.102331563349,42.4860227533205
