,Data1AIC,Data2AIC
1,41.3285667749726,41.5955756266265
2,37.7978338800039,40.9512409757477
3,40.7259193921071,42.4647777239004
4,40.9956586473485,40.2491904513084
5,38.4893870084961,42.3478026162374
6,40.2078684898189,44.0651695636221
7,45.4853253437437,49.3961925430934
8,40.9401920678054,44.0790469763986
9,36.9325820489586,40.0813497763078
10,40.350427109065,43.9826841152957
11,37.8340190764943,41.5156704188705
12,37.3605815989633,40.6268285586168
13,42.6973206457999,43.7794532217773
14,37.5494838786972,40.4838400470765
15,39.3510795378625,42.2895640947758
16,40.1896963530265,42.5701154913398
17,39.7145879369431,43.219974450841
18,42.0443908886717,44.3656436269943
19,38.6992214648001,42.0100668071735
20,40.9483225381889,45.1266117761802
21,42.6622219693708,43.0939663046273
22,40.9060547246647,41.42467264763
23,38.4335667807881,41.4794280213624
24,37.813248486014,41.3317538339214
25,37.0666116349927,40.6423585846622
26,39.712634743787,43.3904302438803
27,40.4413962264068,43.9892453624034
28,40.0761981747737,42.8325880891225
29,40.7104736086167,44.7104735693554
30,36.1495516032818,39.265220117422
31,37.8500585283678,41.6061775619067
32,42.0314139093747,44.8623934203604
