,Data1AIC,Data2AIC
1,40.5521434281161,42.6808312219178
2,44.8743973840867,48.8743973838413
3,43.8206382579196,44.9885020236345
4,40.8144365762277,43.141646238641
5,42.563790212905,46.5356358322615
6,44.6405246895751,44.5272940819628
7,43.0724063965597,45.2257950746602
8,42.01467037707,44.7992595813686
9,40.4027746778983,42.1186650074533
10,42.3866208865561,44.0162648881017
11,45.5672533533538,49.5081880843717
12,43.4410537890917,47.371908789409
13,36.4767132209244,38.2194410754712
14,43.1010868350982,46.9551070647125
15,41.1302990214075,44.9978459051769
16,38.7296735995913,41.9450926116551
17,38.7717590913425,40.2353457902988
18,42.237857920495,46.0017938768769
19,38.0661235124307,41.6338208289934
20,42.1285582334203,45.9983487445521
21,41.130338250515,45.0987205751448
22,40.3255451447906,41.7895157772203
23,41.1065242212924,43.1278743702069
24,46.4435874168802,50.3668174452454
25,38.6218632863508,41.6223696365704
26,42.1271824065287,44.7188901453797
27,42.2858412958279,46.2241503611781
28,42.6281449023604,43.5981482717953
29,40.4184293958651,44.2328943124118
30,42.495138905708,44.9486267772806
31,39.5961497960362,43.5924785809383
32,40.7745644067772,44.1753243250414
