,Data1AIC,Data2AIC
1,37.7824084976517,41.4693039160687
2,38.4562395192516,41.2177351562245
3,40.5244651034076,42.0846165267183
4,37.2386026034484,41.0300663705411
5,39.3211318833012,39.9315882176134
6,41.7839016621457,41.8248360389795
7,40.6227373210701,44.2951134449201
8,42.1019427888732,45.1383975561485
9,39.4909397670837,42.7143075168432
10,37.3922072125624,38.5190910764889
11,38.4480492674213,42.0067890212034
12,39.9914650959919,40.7242884470322
13,39.4630641104816,41.6170182282012
14,39.0814281566654,43.0105598594117
15,39.0557186592142,42.3591836054744
16,42.152447743428,43.7815890976694
