,Data1AIC,Data2AIC
1,39.7068538380345,41.6308896562613
2,40.5191192460276,39.3754454517242
3,44.0059211149666,48.0059211024082
4,43.0300149702627,40.4475762372809
5,42.607178162023,41.0099970113725
6,38.7699127130886,40.8013864678644
7,42.5043926633138,39.4057620138141
8,39.3008617098931,42.3740639613174
9,42.4970359580844,39.7425416075773
10,36.6342267629726,39.873053218873
11,41.9642928736249,40.5402370887548
12,36.2231398437954,39.1703928422769
13,41.3950194278047,45.3949653070708
14,40.4922532855028,39.8483848109167
15,34.4139938595397,37.2660463046355
16,40.4184396469499,43.9752388501439
17,40.7320585766443,44.7320585645365
18,41.3531879104016,38.7010220569978
19,40.610690566556,44.596595761789
20,44.9381748984384,48.9381748826146
21,39.2808678860461,43.2808679094358
22,42.1531244979008,42.0092118248549
23,42.3093432470729,43.1379014888606
24,42.5917251048097,44.8349131726576
25,39.2315458689928,38.2852428016835
26,37.3809480583304,41.1542123728175
27,42.284029871338,39.4744992677931
28,40.5008982814696,38.2613981261136
29,37.8814360718936,38.598023127315
30,40.6615714600038,41.4272684327128
31,41.2875762800182,43.790377281572
32,40.3705544336808,44.3556135744377
