,participant,rs,ls,MSE
1,p1,0.758309997990519,0.625710900043591,102.292493054153
2,p2,0.9979273943768,0.0324762550305765,50.4856788831825
3,p3,0.834753031698658,0.69956441459773,90.6772784051238
4,p4,0.752185047298995,0.999999727225518,95.7034801556349
5,p5,0.929791368340891,0.0635914573738136,57.9743305171623
6,p6,0.964529798412133,0.0775529203526686,81.7525197191067
7,p7,0.918354581384234,0.218989407512556,234.906603290259
8,p8,0.810973472520696,0.269145612532403,94.647678216312
9,p9,0.987586950072584,0.0256095089132148,42.4632647520816
10,p10,0.987544882858475,0.0301263972226481,84.1169721188523
11,p11,0.983619082957013,0.0432842244928853,50.8523710074588
12,p12,0.988895644439819,0.0607931580196882,46.2582234919035
13,p13,0.687422827641213,0.419050218855097,134.50307520398
14,p14,0.990635861665416,0.0325340008172438,48.039313615067
15,p15,0.792754839221691,0.602549291948864,68.8781389594304
16,p16,0.860131239042736,0.345886146876414,81.4559354083479
17,p17,0.983599895348803,0.0443635749585484,74.0722168708027
18,p18,0.909372498981871,0.425777933459072,118.037351359696
19,p19,0.975495619142091,0.0480006129344452,60.4591074476613
20,p20,0.975861918929818,0.415865881182075,94.8017094459266
21,p21,0.729189765216766,0.580846274801713,133.56220541293
22,p22,0.858348751549707,0.705786955791412,94.0036751196785
23,p23,0.779646414552138,0.389798964404171,57.3307018856252
24,p24,0.984966357366583,0.0455507540965684,50.6415624178719
25,p25,0.978264174848873,0.0487020460316907,43.6169248903603
26,p26,0.97501975728016,0.0182561141504691,74.0432870523132
27,p27,0.987648958683301,0.0363836041427223,85.6613882758689
28,p28,0.773179996399475,0.440069796776931,79.6277434990134
29,p29,0.880831690154771,0.329791567389767,90.3975942996045
30,p30,0.993396373809462,0.0375728070221117,36.307823964089
31,p31,0.969979590949629,0.0551224304425259,51.0157617686535
32,p32,0.918499663192077,0.357207605777941,117.731394917509
