p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48
0.11037615,-0.572581484,-0.735525665,-2.249309597,2.224466472,0.945108238,6.556911495,-2.586160752,1.831697798,0.44582316,2.200560817,-3.978359463,-0.911747658,-1.841087914,-3.707883101,2.076442746,1.158473879,-2.40522138,1.651129575,2.092610989,-2.709347739,-3.306545688,0.590294495,1.800433804,2.103315448,-0.584245083,-0.258368058,-2.780937326,-3.724392296,0.220656068,7.984830967,-3.047086124,-0.043444401,-3.12040724,-5.764532034,-1.672548781,-1.356268145,0.180288024,0.198488582,1.969596115,6.669245699,-0.720785821,1.201189178,-5.071172562,1.032716811,0.224611778,-3.930295972,2.658747378
-1.52061421,1.664042567,1.798917389,1.23334179,4.130973235,-1.091771035,5.134481444,-3.246267697,1.68092815,-0.981393047,1.283734662,1.215724472,4.459671774,3.948225465,-4.66116705,4.267456356,5.669055622,-1.251154369,0.648240085,-1.609860409,1.267464627,1.840533205,-4.025690609,2.843238385,1.393877487,3.064502813,2.76477139,2.682457482,-1.32552133,-2.550153558,0.108851582,-1.189461672,7.057588918,-1.953841044,2.640003888,-1.306653711,-1.910263075,-3.582159646,NA,-4.766895484,1.959720772,-1.133820267,-4.919015969,4.544773557,NA,1.510810193,-1.721340155,NA
1.046899468,2.537454425,-4.848950978,-0.614761374,0.279649323,-12.07668892,-0.358634059,0.082095577,-1.811594281,6.255356792,-5.59483421,-0.769510006,-3.765155239,1.565120001,-9.220699343,-0.66688263,5.882991955,2.592077211,-1.171152055,-5.325179866,1.802037128,4.05542848,2.871010625,3.914298376,4.994861566,0.590292378,-2.769080989,2.139517061,-4.757232961,1.505642878,-2.231323492,-3.648637016,0.895192038,2.029481637,0.552293726,1.190531084,-4.974090965,1.557336698,NA,2.312846747,7.276539959,2.341502943,6.312861163,2.670526953,NA,-7.261574164,0.722096138,-7.805495042
-5.16122616,-4.253196459,-2.818461223,-0.22560396,NA,1.218143988,-2.658405895,3.174000101,-0.95329571,3.571395707,2.031780612,4.686809484,2.814236746,-0.560735951,4.574549687,0.917255471,-0.432819819,-1.730625927,2.393427624,4.284971856,0.476404929,0.894063222,-3.420594544,0.719430688,4.662359171,2.240973094,2.782060639,-2.939470182,2.176358243,2.283300683,-3.7213216,0.677054864,3.834623686,1.90317759,-2.36134523,1.517722187,1.313728462,-3.563126275,1.278688167,2.810278494,-4.945184381,-1.58372769,-0.835440716,-0.89301914,4.532540417,5.9663581,3.310444364,0.646891243
-3.948760697,-7.01783828,-4.696874702,5.054336119,2.85682349,-4.36572733,-2.81936752,-6.492886516,-0.28023918,-5.321998533,-0.679673738,-3.102341436,0.378106793,-3.743134516,-0.521805267,2.248987608,-0.911199178,4.108466698,-4.157268608,-0.438883535,-2.846371962,-1.152056915,0.250940442,-0.638328514,0.111711546,-1.587316102,-1.891286804,2.838436025,-2.119441474,1.428451062,-2.086106222,1.224884554,2.969318269,4.835830029,0.770585726,0.841660336,-2.457988289,2.084502872,3.281550704,4.771016778,-3.929761059,5.039099454,1.270107756,NA,-3.222368501,-0.398201469,-1.170707131,1.753950029
0.199369445,-0.459242432,-2.562767117,-3.642931954,NA,4.827570529,2.338572393,-0.016077865,-3.315704821,-1.87889203,2.859063316,-8.225099797,3.032023331,2.694075771,-8.03259425,-0.179857425,-3.315425357,7.396196042,-0.771137144,-5.526830656,2.968136433,-2.369243873,-3.178747487,3.789564392,-0.838294638,3.476120779,-0.436346098,2.673271266,5.313238874,-1.299113497,2.481003671,1.322009363,-1.490399432,2.223199185,-4.42613511,-2.237647885,-1.297987856,-2.81430721,-7.900307224,-1.693888907,NA,0.198664651,-0.423960567,-1.904170794,1.344450108,-3.680643234,0.043509291,0.177415771
NA,-3.133016899,1.835776947,3.871998423,0.133286825,8.153542562,-5.250268542,3.010179287,0.138157672,2.641635636,-1.591798333,1.325953117,1.372954404,-1.180059312,-7.880771381,4.007450838,-3.710413276,-1.281730156,3.075651746,-0.629782575,2.875080739,0.798407466,0.981824612,-1.033145363,3.731949194,3.841854629,3.378619734,1.492855221,-4.359033195,0.90374298,-1.560312597,3.008285279,2.372572958,-4.520962329,4.269317805,-1.681285407,1.284061619,-2.357672779,0.249306581,0.60517483,-3.706592758,-4.243612057,3.461824708,-1.887405297,3.803043333,-4.006087248,3.362691242,3.066458265
3.438556342,2.086355155,-3.000347864,-2.086108507,-1.807416381,3.343228448,1.974354735,-5.900660796,0.846171754,-0.16936447,2.326215302,-3.875300268,1.252833428,-3.039737767,-3.814906863,0.174244254,2.257762964,NA,1.954021618,-2.159288215,-2.452563864,-0.604250827,1.453893617,0.538202831,1.447508367,0.471816605,0.512480485,-0.441967851,1.797615444,-2.384753177,1.526120018,-0.417448314,-1.994614811,-6.133220383,0.066808395,2.93450789,2.860122344,-2.666734292,-2.192622117,-0.32272135,-4.763752479,1.338195841,1.497944056,1.089746818,-2.180439492,-0.641443616,4.26667261,1.919516505
1.633157789,-1.028205997,-4.862696595,-4.401149573,2.802979067,6.790244435,4.351318972,1.168092192,5.8181008,3.045296087,0.156911558,-10.94800037,-0.2744681,-0.32818698,-5.14203225,-2.606255587,3.170681607,-3.417921419,-0.317384312,-7.182020869,3.171001586,5.445325117,1.848841653,1.162835808,7.364979511,-0.508662155,2.396288071,-2.854023075,7.438923506,2.56088325,0.639287939,-0.119094538,-0.865349169,-1.290357457,-0.528683475,-2.076185219,-2.028781079,0.988441243,0.63605977,0.269042687,1.206099516,0.0884324,0.784525288,-3.528593232,6.41906941,-4.578179571,-4.075206409,-5.966919853
-0.186959071,4.887898914,2.694761433,2.584402032,-2.698846757,-3.900614596,-1.879537076,-0.105765829,4.712617431,-1.547673217,3.506032604,4.537566717,-0.372086942,-0.75689038,NA,-4.123493748,0.535420069,4.311430342,4.640716582,-0.559000397,-1.765401151,-1.523673932,-0.913424298,-1.092301471,1.647826389,-1.485964109,4.580069361,-1.512472676,-3.308830993,0.206095456,5.656008909,-3.774774819,-5.812322128,-6.85485307,-1.21686484,-3.250779423,1.912147348,6.087018882,1.04460391,2.741534046,-2.415871163,-1.005880757,-6.960580193,4.045358216,-7.783189319,-1.823568489,-2.72574697,1.004482653
0.859109233,-3.2215202,0.930344814,3.334302609,-3.576032845,0.929135235,3.803762522,1.984884792,-0.67630862,1.218130515,-0.391910778,1.135907921,-1.247751522,-2.421385175,3.801028524,3.269101362,-4.727608526,-2.322669727,-1.938362798,0.139580378,-0.165303572,-2.800786879,1.242914168,0.02288593,-5.669145652,0.088379779,-2.486561112,0.149040399,2.602781794,-1.731282159,4.265160448,-0.401155198,2.568703144,1.217421601,2.943888307,-0.084157555,2.138298822,-4.241613153,1.485426093,-0.405171775,-5.585504921,-1.022832037,-3.618093213,1.37265811,-2.536043946,NA,-0.700623107,-2.774979352
-4.014668107,2.213363446,-3.024684702,-0.954034419,-0.57104563,-2.524962046,-0.248639479,0.776428726,-2.251922235,9.188451283,4.082414788,1.500295372,-1.949976367,3.088395495,2.466329928,4.143118177,-2.629286407,-5.621164144,-3.057489392,0.316028271,3.894169041,-2.660914793,-0.632403837,0.489615672,1.956729656,2.431435176,1.164856192,2.677524427,1.695436301,0.59378922,-0.310742679,-1.768527715,0.341040381,4.616756447,6.65272864,-2.5562511,3.498748749,1.554969642,3.948715814,3.916407737,-9.01928545,-5.74854651,-5.185343359,5.026529503,-2.793892106,2.188342023,3.533988662,-2.037432557
-5.76070329,-4.953874553,-6.199560963,0.716517661,-4.354538289,NA,-2.12045634,-7.412394821,-8.26860245,-4.40475245,-20.30040524,-8.310285684,-5.260806735,-10.45401068,-20.83622937,-4.605240489,-8.770925744,-20.2330962,-3.868127207,-7.861275989,-5.274956861,-13.83193648,-10.81670289,0.274970066,-2.82442854,-7.269822224,-4.846067795,-6.304208632,-2.924058395,-11.556094,-7.006670334,-22.0921165,-4.177264811,-17.23391297,-6.050711772,-13.75069737,-22.42157488,-13.66472255,-4.332501783,-6.823941709,-19.18650187,-7.442638979,-2.368631207,-11.24359374,-15.70010183,0.859510051,-9.501732301,-10.79846721
-9.292958215,-18.01545955,-14.1426009,-12.7697059,-7.825516547,-17.0469473,-13.07933774,-30.96020879,-10.29927038,-4.151239343,-11.64255711,2.333293901,-12.13898264,-7.225698843,-15.44264288,-3.751452376,-6.60078802,-9.271478426,-12.83989626,-11.09643115,-8.98108087,0.756405148,-21.61696042,-13.97275181,-5.284966401,-0.317642077,-22.97466106,-11.90799167,-16.68776755,-18.34213475,-4.719146855,NA,-6.924368092,-12.48518447,-3.897223151,-4.740358754,-13.19290728,-5.423680971,-13.39654025,-2.021259898,-7.964057159,-12.41492836,-13.01449676,-0.972623737,NA,0.985487574,-12.58683068,-11.55817663
-7.442909814,NA,-0.09700254,-23.05502017,-13.99249066,-1.129903207,-17.02277729,-4.364481123,-13.08534816,-1.864346591,-10.261824,-13.39014569,-19.07415754,-18.03554501,-20.26095765,-21.79878889,-15.38584104,-9.345285939,-8.380471658,-16.11704172,-11.24462357,-13.229022,-19.73038129,NA,-10.51486926,-13.85933887,-8.219801874,-22.46222415,-20.69069128,-10.35688948,-14.88154296,-3.438200598,-8.203875998,-1.013338455,-13.92926973,NA,-14.04069862,-24.50259425,NA,NA,-15.03801174,-10.1548158,-21.24835283,-8.979267539,NA,-16.07154271,-27.04592162,-28.47951685
-7.325981914,-11.97164624,-13.02876761,-27.51480787,-5.824756754,-6.207799189,-14.99909261,-9.24528807,-17.30251862,-15.26174038,-11.61597224,-9.461979797,-11.25216804,-18.05844033,NA,-15.585608,-10.14647691,-12.40104389,0.243487955,NA,-11.83417479,-8.151374475,-9.870271194,-6.052413393,-13.97522626,NA,-8.686077143,-13.53467365,-21.5161767,0.429441358,-16.98596764,2.156292594,-10.46908169,-14.55273054,NA,-7.116649192,-16.61200602,-11.53944268,-1.314261426,-4.139199044,-8.187417347,-16.22533506,-10.3728792,-8.379937719,NA,-17.53726699,NA,-19.05411446
-8.041574032,-14.96043606,-14.14332083,-1.581938354,-13.96507054,-23.68136564,-0.568624851,0.205022935,-12.85289095,-7.829939031,-8.604856739,-4.088342445,-14.3012867,-18.05372586,-24.83115854,-7.807968622,-11.21390948,-25.97486454,-10.21469604,-26.36978282,-11.33567811,-12.73112118,-9.272908933,NA,-12.83432819,-18.0290239,-2.385099837,-14.17499293,-19.62005008,-11.04166095,-9.378219665,2.762880628,-13.50829344,-8.476424012,-10.5182101,-1.611315326,-18.6519745,-17.3548283,NA,-8.593019642,-28.69013999,-23.22413383,-13.76620342,-2.810882225,-16.02090228,-11.18660628,-20.18209531,-21.832945
-9.986418137,-18.52051339,-26.02993103,-6.353210456,-7.367436982,-27.85715097,-18.10692016,9.163869572,-13.45626194,-9.574690455,-12.07457392,-5.283875749,-15.62517763,-34.17654075,-23.00382927,-15.67527058,-14.32153876,-27.03235164,1.842409392,-43.10992034,-12.23488051,NA,-18.15694137,-7.995487687,-10.17622428,-14.61392187,-9.30034433,-18.18190632,-22.05172429,-0.481777708,-20.78836382,3.429998727,-7.716546108,-12.26281815,-15.27326353,-1.888296984,-18.82521148,-13.09389604,NA,-11.69339416,-15.34829466,-18.97821528,NA,-2.201143579,NA,-12.93202248,NA,NA
-20.94297406,-16.87150719,-16.76500851,-8.821834125,-10.78839496,-43.26100027,-32.89540676,-10.49906331,-16.95364188,-10.21145907,0.545885036,-9.01913285,-2.549315708,-15.19028286,-33.51612418,0.828894416,-9.729655739,-7.968007047,-13.63753099,-31.01062237,-13.24270488,-13.22482911,-17.75873339,-9.421169352,-3.541406897,-9.581470837,-5.776793569,-16.68622146,-21.14783193,-5.656573132,-13.565253,-15.12624438,-9.997091278,-10.04794006,-7.06769518,-11.40477778,-13.95126478,-19.04426593,-10.9229951,-10.41500097,NA,NA,-13.48687954,-5.0945882,NA,-20.28028103,-6.167372841,-15.62068683
-12.09442987,-13.86952445,-11.07532319,-17.87129033,-9.473565959,-32.53921763,-22.94945018,-4.721352261,-15.45301831,-16.09373599,-9.837441084,-8.122715381,-16.51835004,-22.40113663,-29.47193548,-17.63690331,-13.44338519,-10.20363093,-16.30831383,-28.86549276,-16.35082539,-7.757627679,-7.850258713,-17.33084604,-7.238214441,-20.11688186,-24.80757518,NA,-23.57612608,-8.20471996,-11.39943366,-2.693085152,-10.36875521,-6.033978566,-11.94339038,NA,-10.99444288,-17.54501855,NA,-8.132667965,-8.938047362,NA,-11.58371184,-5.646348438,-13.39291661,-17.29951377,NA,NA
NA,-10.0553728,-15.46364894,-21.29063349,-0.034351252,-42.99088088,-2.20168868,1.923760193,-17.42159632,-11.40132747,-9.162692853,-12.4428385,-16.92920063,-4.578253268,-24.14630569,-24.78532918,-15.82755719,-17.54898655,-9.341013806,-45.51568846,-22.67592844,-14.55025388,-11.81813457,-22.16630665,-8.705476192,2.227042074,-13.82527859,-24.50525047,-18.8796534,-3.70447247,-19.94479107,-14.52082719,-14.91426791,-8.119817985,-21.35755647,NA,-28.17898621,-15.15349201,NA,-10.47093797,-8.984911079,NA,-3.299643636,-4.524372606,NA,NA,-11.19849355,-33.38138639
-17.22557503,-24.2051298,-19.61077168,-11.65051289,-11.27148694,NA,-11.34261242,-8.680341282,-15.88083817,-12.58999965,-8.635125784,-4.230579316,-15.41955109,-12.92435078,-11.05030412,0.602446864,-14.64126694,-13.08501835,-0.542448711,-42.85246493,-20.0352182,-4.561668064,-7.402957613,-15.02490445,-7.694015826,-0.624198517,-4.556014307,-10.59880163,-23.78338152,-4.853749125,-17.82639443,-17.09661796,-2.855494594,-10.4529582,-11.21274079,-13.04548495,-24.55643511,-20.36580115,NA,-14.10373862,-8.66806522,NA,-9.251841727,-16.10397928,NA,-14.26841771,-24.31007295,NA
-14.02571986,-18.52717018,-12.03204061,-31.83407507,-13.47871335,-11.31458073,-18.215961,5.999867241,-11.20271392,-16.7345724,-9.789535355,-8.749379535,-14.02801828,-6.944910411,-23.82494558,-20.63067457,-2.843835557,-26.36940761,NA,-11.13233295,-20.90663775,-14.85939758,-8.281254719,-12.79382851,-7.488021253,-11.50187052,-12.98422761,-14.19681583,-28.18104273,-8.114756275,-19.60400428,-5.379262916,-10.9904389,-6.503665943,-16.68589233,-0.860350382,-12.54838479,-14.04351886,1.171740624,-10.12406286,-17.06515302,NA,-5.915324931,-1.542835065,NA,NA,-13.13949049,NA
