group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
nocursor-in15,reaches,main,0.117395178459651,0.0940781796644793,0.128805132509867,0.148669465051842,23.3622576004589,21.4589102025474,22.6348798947827,23.9768979989302
nocursor-in15,reaches,reversal,0.118374943445333,0.106113766112451,0.122169702483106,0.182993041071168,NA,46.7245152009177,46.7245152009177,46.7245152009177
pause,reaches,main,0.332788878919097,0.295128209774871,0.331790233957881,0.369753560369683,29.3476043571873,29.118263610448,29.3012397165995,29.7443577484206
pause,reaches,reversal,0.144046260956723,0.138083669781645,0.151655159144528,0.163685997165153,NA,58.6952087143747,58.6952087143747,58.6952087143747
pause,slowprocess,main,0.028087750297429,0.0253519629849206,0.0281288483558766,0.0302306983770078,27.2144945856832,26.1403139301462,27.0929871954227,28.3258731101255
pause,slowprocess,reversal,0.0370980250724953,0.0351082842209471,0.0380691198507706,0.0425233001746546,NA,54.4289891713663,54.4289891713663,54.4289891713663
terminal,localization,main,0.435087522708348,0.077427706213655,0.262399193190005,0.432241391926735,6.31831941224908,4.66878789864505,6.51323222961024,6.84978693678835
terminal,localization,reversal,0.156880424219325,0.0999021891860449,0.118035837222102,0.478486036872311,NA,12.6386590606996,12.6386590606996,12.6386590606996
terminal,slowprocess,main,0.0335308007672395,0.0328453397577022,0.0354601166429403,0.0357533483972128,25.3490447887107,24.1349365936326,25.326873315161,26.6918474261729
terminal,slowprocess,reversal,0.0418469843825377,0.0338025227383777,0.0425742288936988,0.0443536369567556,NA,50.6980895774214,50.6980895774214,50.6980895774214
terminal,reaches,main,1,1,1,1,21.8880152471399,20.3427685863801,20.9521833784815,21.9944035847842
terminal,reaches,reversal,0.0365480454582893,0.0345950935326359,0.0373773004123588,0.0381397814879605,NA,43.7760304942798,43.7760304942798,43.7760304942798
exposure,localization,main,0.6927653044532,0.283964947434974,1,1,5.18078312160618,4.65758963849186,5.6425793945196,6.25935160979702
exposure,localization,reversal,0.149831976473376,0.108760344066536,0.154046594744528,0.197828694634864,NA,10.3466606947472,10.3466606947472,10.3466606947472
