p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
4.92484331130981,4.03351783752441,4.02571201324463,4.15047311782837,4.69846153259277,7.22672176361084,5.19800233840942,4.57194709777832,4.84201717376709,5.71652030944824,5.3227424621582,1.32550311088562,4.44255828857422,4.14465713500977,2.49593997001648,5.19919586181641,2.61293792724609,3.90966963768005,3.25496935844421,3.93017363548279,2.77826452255249,6.52414846420288,5.76156330108643,6.76598262786865,5.41806793212891,4.83522844314575,5.35391521453857,4.65889692306519,5.95374631881714,6.2896933555603,2.23416614532471,5.29139614105225
5.40210819244385,4.42395401000977,4.42725419998169,4.56697034835815,5.17197895050049,7.74294805526733,5.74376392364502,5.03703546524048,5.33451509475708,6.30043506622314,5.84030914306641,1.44712686538696,4.87742519378662,4.55022954940796,2.77669239044189,5.72768831253052,2.86884355545044,4.27647972106934,3.57750201225281,4.31747102737427,2.98817157745361,7.16435670852661,6.31777572631836,7.43114995956421,5.84501123428345,5.35599517822266,5.85994577407837,5.03117322921753,6.49326705932617,6.76093626022339,2.41182017326355,5.74962902069092
5.86550331115723,4.80496311187744,4.82224178314209,4.9763765335083,5.63628101348877,8.24286079406738,6.27738618850708,5.49084329605103,5.81658363342285,6.86685085296631,6.3457670211792,1.56574559211731,5.30462312698364,4.94449901580811,3.05429911613464,6.24098682403564,3.12235522270203,4.63813257217407,3.89608573913574,4.69887971878052,3.17915558815002,7.78697443008423,6.86011505126953,8.07477951049805,6.26278162002563,5.86326122283936,6.34975099563599,5.39699983596802,7.01324653625488,7.21709394454956,2.58163714408875,6.19914436340332
6.31545209884644,5.17768526077271,5.21096706390381,5.37901210784912,6.09173488616943,8.72847938537598,6.79921340942383,5.9345006942749,6.2888035774231,7.41720056533813,6.83995771408081,1.68190896511078,5.72443914413452,5.32881307601929,3.32886409759521,6.74053144454956,3.37349724769592,4.99470090866089,4.21076917648315,5.0745701789856,3.3529224395752,8.39256477355957,7.38936901092529,8.69756889343262,6.67243385314941,6.35741233825684,6.82543706893921,5.75700235366821,7.51552724838257,7.66086292266846,2.74537467956543,6.64024353027344
6.7523512840271,5.54289770126343,5.59361553192139,5.77508354187012,6.53859663009644,9.20101261138916,7.30953788757324,6.36882543563843,6.75157117843628,7.95260858535767,7.32344198226929,1.79599404335022,6.13706684112549,5.7041540145874,3.60045552253723,7.22743606567383,3.62229251861572,5.34625625610352,4.52159976959229,5.44466066360474,3.51102423667908,8.98162460327148,7.90608263015747,9.30019283294678,7.07456302642822,6.8388032913208,7.28855991363525,6.11151790618896,8.00142669677734,8.09392547607422,2.90435338020325,7.07313537597656
7.17658138275146,5.90114164352417,5.9703221321106,6.16474294662476,6.97706985473633,9.6612377166748,7.80862712860107,6.79441976547241,7.20518159866333,8.47397232055664,7.79662227630615,1.90826117992401,6.54265832901001,6.07124853134155,3.86912274360657,7.7025728225708,3.86876320838928,5.69286918640137,4.82862520217896,5.8092474937439,3.65487313270569,9.5546178817749,8.41067314147949,9.88330364227295,7.46953010559082,7.30777072906494,7.7402811050415,6.4607458114624,8.47192859649658,8.51735496520996,3.05956506729126,7.49799299240112
7.58851051330566,6.25280427932739,6.3411979675293,6.54811573028564,7.4073314666748,10.1096982955933,8.29673385620117,7.21173858642578,7.64987373352051,8.98201942443848,8.2598123550415,2.01889133453369,6.94134616851807,6.43064165115356,4.13490629196167,8.16663551330566,4.11293077468872,6.03460884094238,5.13189172744751,6.16841745376587,3.78575420379639,10.111988067627,8.90348625183105,10.4475345611572,7.85757541656494,7.76463842391968,8.18147945404053,6.80481910705566,8.92780303955078,8.93185710906982,3.2117555141449,7.91497278213501
7.98849582672119,6.59817171096802,6.7063422203064,6.92531299591064,7.82954406738281,10.5468149185181,8.77410316467285,7.62113428115845,8.08585357666016,9.47735404968262,8.71327590942383,2.12801194190979,7.33325386047363,6.78275203704834,4.39784145355225,8.62018489837646,4.35481691360474,6.37154388427734,5.43144512176514,6.52225351333618,3.90483617782593,10.6541624069214,9.3848295211792,10.9934959411621,8.23887825012207,8.20971965789795,8.61282920837402,7.14383983612061,9.36968231201172,9.33791542053223,3.36148524284363,8.32422351837158
8.3768835067749,6.93746519088745,7.06584739685059,7.2964391708374,8.24386310577393,10.972936630249,9.24097156524658,8.02288913726807,8.51330947875977,9.96048736572266,9.15724563598633,2.23571372032166,7.71849870681763,7.12790822982788,4.65796136856079,9.06368255615234,4.59444284439087,6.70374202728271,5.72733116149902,6.87083530426025,4.01318311691284,11.1815557479858,9.8549861907959,11.5217790603638,8.61358451843262,8.64331912994385,9.0348596572876,7.47789430618286,9.79810619354248,9.73587989807129,3.50917625427246,8.72589015960693
8.75401020050049,7.27086114883423,7.41980218887329,7.66159391403198,8.6504373550415,11.388373374939,9.69757080078125,8.41723537445068,8.93241691589355,10.4318618774414,9.5919361114502,2.34206295013428,8.09719467163086,7.46637392044067,4.91529703140259,9.49751567840576,4.83182954788208,7.03126955032349,6.01959466934204,7.21424150466919,4.11176252365112,11.6945714950562,10.3142251968384,12.0329570770264,8.98182392120361,9.06573390960693,9.44799327850342,7.80706119537354,10.2135543823242,10.1260185241699,3.65514612197876,9.12011337280273
