AlignedMean,AlignedMax,AlignedMin,InitialRotationMean,InitialRotationMax,InitialRotationMin,EndofIRotationMean,EndofIRotationMax,EndofIRotationMin,SecondRotationMean,SecondRotationMax,SecondRotationMin,ErrorClampMean,ErrorClampMax,ErrorClampMin,ErrorClampLateMean,ErrorClampLateMax,ErrorClampLateMin,Experiment
0.237409059,-12.16835093,11.59587303,9.414074543,-5.891356028,27.05871364,26.93945858,-16.773714,49.63399055,-4.317791703,-40.9558719,18.42539835,6.186987789,-34.810264,29.84932368,11.09874631,-28.74615384,38.36175086,ActiveR
-0.036122793,-18.54209748,14.22177266,-8.828560334,-28.5156893,9.311351785,-10.4263192,-42.25734178,26.05594288,4.348638776,-25.87867203,25.45885684,-0.670720565,-20.07792515,36.90938051,-4.087186095,-54.09343589,20.20033742,ActiveL
0.079246925,-13.79080002,12.17795009,12.51722948,-7.621998502,32.74243097,29.60822533,7.536987697,49.89731864,-10.6484626,-48.25194733,19.75780832,3.107837851,-53.87608754,48.09893795,5.970532349,-60.99725784,65.97319501,PassiveR
0.547276999,-20.43995281,20.86970103,-5.923007919,-38.78373464,23.32494117,-6.269560339,-44.0601245,24.58518862,4.134084181,-24.21836318,35.05550932,-0.947580905,-32.71059988,26.30571278,-0.810213832,-29.66438583,35.71869172,PassiveL
0.040291089,-12.49107544,10.0678246,13.1818648,-7.033904323,36.40040006,30.51431153,11.18035652,50.35162959,-12.41588608,-42.3678602,19.65291118,-4.203884891,-45.89407603,40.83726739,8.361568074,-35.73072707,46.10288331,PauseR
1.409931752,-15.35530247,24.17283948,7.990345452,-17.07758874,36.32255972,24.94212425,-2.165608464,50.79202353,-7.890030889,-51.17744698,33.17217282,-0.379878573,-39.78072415,42.96931503,1.948008362,-170.9295493,71.39744515,NocursorR
-0.286809187,-9.188451283,10.94800037,10.99829501,-2.333293901,37.03940686,17.31970756,-2.701740486,52.73521791,-8.327650134,-29.14665069,16.13777536,0.010304902,-32.78615424,23.11983926,2.650829278,-18.82585416,18.15595152,NocursorNC
-1.063164855,-7.440223349,2.588652401,23.09740353,6.164334772,30.37352074,26.9980972,14.05753643,33.61323952,-24.31898958,-33.15111794,-9.541017756,3.243982628,-13.52703752,18.01320225,3.508862346,-24.21992174,30.73146203,NocursorIR
-0.027321084,-10.85590186,9.192652841,10.53648694,0.538387428,26.30883763,12.60151023,-19.25017174,30.6405524,-13.43384386,-45.55741039,12.96773359,1.720185439,-9.752231759,12.92609553,2.051363762,-23.1472925,13.56582142,NocursorINC
